,dir,local_ip,lp,mod,nm,prod,productId,protocol,remote_ip,rp,sigid,sigwid,timestamp,ua,url,company_name,cust_id,last_vdb_timestamp,machine_type,os_arch,os_id,os_name,pkhash,product_name,product_version,sp_major_version,sp_minor_version,trial_copy,vdb_timestamp,vertical_id,city_name,country_name,real_region_name,Cluster_5
650,in,30.10.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt10,SMB,192.97.195.87,56113,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname7,d6f50d8e7de308ac7228798c30cb554c,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,cc35c18849c25cb0ff0e38facdd4f7f2,qhpname7,qhpver1,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",bollywood,city138,country4,region20,0
651,in,12.11.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt2,SMB,196.235.7.189,51393,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname4,fab93b4a7ed6a37690a02e6e14ff5910,"02 March, 2019 (08:03:05)",LAPTOP,64Bit,50033.0,Windows 7 64 bit,b725266e8c5374a54e4a0b98236a2323,qhpname4,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:34)",finance,city-1,country4,region1,0
652,in,164.34.199.19,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt6,SMB,248.34.199.19,59023,31780.0,qhcltr4,2019-03-04T06:27:39.000Z,,,qhpname6,d07d6acac47dd117ee8083e7f347dfeb,"28 February, 2019 (10:52:05)",DESKTOP,64Bit,50042.0,Windows 10 64 bit,420b277356548ab9e5dce7ff805e1cf1,qhpname6,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:34)",educational,city211,country4,region13,0
653,in,171.150.200.19,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt6,SMB,174.150.200.19,60182,31780.0,qhcltr4,2019-03-04T06:27:39.000Z,,,qhpname6,f23add1fdccb5c5d2686f5e9ccaf75a9,"02 March, 2019 (08:03:05)",DESKTOP,32Bit,50016.0,Windows XP Professional,2da87eddd497a36d296be34222099d37,qhpname6,qhpver0,2.0,0.0,0.0,"03 March, 2019 (08:09:34)",educational,city211,country4,region13,1
654,in,23.10.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt6,SMB,150.10.177.921.,64621,31780.0,qhcltr4,2019-03-04T06:27:39.000Z,,,qhpname6,876cd561471f12b3494d0726517ae180,"02 March, 2019 (08:03:05)",DESKTOP,32Bit,50032.0,Windows 7,43e771858d6b9652193fc8103963bfb9,qhpname6,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:34)",healthcare,city129,country4,region26,1
655,in,225.10.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt2,SMB,13.10.177.921.,55521,31780.0,qhcltr4,2019-03-04T06:27:39.000Z,,,qhpname4,fd29099192219255521a75a8b26479b7,"15 February, 2019 (05:59:14)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,5f3c6170a97bf99769da739366320b06,qhpname4,qhpver0,1.0,99.0,1.0,"16 February, 2019 (09:37:02)",bollywood,city144,country4,region26,1
656,in,79.118.203.126,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt10,SMB,245.118.243.134,64223,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname7,ec008826e57c57c3caedcc364f7175ab,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,dedc3f1bf56618764e9f8027de9c4906,qhpname7,qhpver1,0.0,0.0,1.0,"03 March, 2019 (08:09:50)",fmcg,city124,country4,region42,0
657,in,54.9.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt9,SMB,56.9.177.921.,52552,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname7,8d06cf5579f9c6ba812fffef45932834,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,8aa4f6aa284546fc9afd31bd9ee0ff90,qhpname7,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",manufacturing,city144,country4,region26,0
658,in,30.10.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt10,SMB,192.97.195.87,56113,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname7,d6f50d8e7de308ac7228798c30cb554c,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,cc35c18849c25cb0ff0e38facdd4f7f2,qhpname7,qhpver1,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",bollywood,city138,country4,region20,0
659,in,12.11.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt2,SMB,196.235.7.189,51393,1912.0,qhcltr0,2019-03-04T06:27:39.000Z,,,qhpname4,fab93b4a7ed6a37690a02e6e14ff5910,"02 March, 2019 (08:03:05)",LAPTOP,64Bit,50033.0,Windows 7 64 bit,b725266e8c5374a54e4a0b98236a2323,qhpname4,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:34)",educational,city-1,country4,region1,0
